2026-02-26 21:38:58,766 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 5506.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,767 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 5506.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,775 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,777 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12683.0)
2026-02-26 21:38:58,777 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,779 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,779 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,779 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,779 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,781 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-ORL | Best Bid: (0.82, 9012.0) | Best Ask: (Decimal('0.6100'), 15130.0)
2026-02-26 21:38:58,781 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,781 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,799 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-ORL | Best Bid: (0.82, 9012.0) | Best Ask: (Decimal('0.6100'), 15130.0)
